en	ceb
Adam, Seth, Enosh,	Si Adan, si Set, si Enos,
Kenan, Mahalalel, Jared,	si Kenan, si Mahalalel, si Jared,
Enoch, Methuselah, Lamech, Noah.	si Enoc, si Metusela, si Lamec,
The sons of Noah: Shem, Ham and Japheth.	si Noe, si Sem, si Ham ug si Jafet.
The sons of Gomer: Ashkenaz, Riphath and Togarmah.	Ang mga anak nga lalaki ni Gomer: si Askenas, si Rifat ug si Togarma.
The sons of Javan: Elishah, Tarshish, the Kittites and the Rodanites.	Ang mga anak nga lalaki ni Javan: si Elisa, si Tarsis, si Kitim ug si Bodanim.
The sons of Ham: Cush, Egypt, Put and Canaan.	Ang mga anak nga lalaki ni Ham: si Cus, si Ehipto, si Put ug si Canaan.
Cush was the father of Nimrod, who became a mighty warrior on earth.	Si Cus maoy amahan ni Nimrod; siya ang unang bantogan dinhi sa yuta.
Egypt was the father of the Ludites, Anamites, Lehabites, Naphtuhites,	Si Ehipto mao ang amahan sa mga Ludihanon, Anamihanon, Lihabihanon, Naftuhanon,
Pathrusites, Kasluhites (from whom the Philistines came) and Caphtorites.	Patrusihanon, Casluhanon (diin naggikan ang mga Filistihanon) ug sa mga Caftorihanon.
Jebusites, Amorites, Girgashites,	ug sa mga Jebusihanon, sa mga Amorihanon, sa mga Girgasihanon,
Hivites, Arkites, Sinites,	sa mga Hibihanon, sa mga Arkihanon, mga Sinihanon,
Arvadites, Zemarites and Hamathites.	sa mga Arbadihanon, sa mga Zemarihanon ug sa mga Hamatihanon.
Arphaxad was the father of Shelah, and Shelah the father of Eber.	Si Arpacsad mao ang amahan ni Sela, ug si Sela mao ang amahan ni Eber.
Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah,	Si Joktan mao ang amahan ni Almodad, ni Selep, ni Hasarmabet, ni Jera,
Hadoram, Uzal, Diklah,	ni Hadoram, ni Usal, ni Dikla,
Obal, Abimael, Sheba,	ni Ebal, ni Abimael, ni Sheba,
Ophir, Havilah and Jobab. All these were sons of Joktan.	ni Ofir, ni Habila ug ni Jobab. Kini silang tanan mga anak ni Joktan.
Shem, Arphaxad, Shelah,	Si Sem, si Arpacsad, si Sela,
Eber, Peleg, Reu,	si Eber, si Peleg, si Reu,
Serug, Nahor, Terah	si Serug, si Nahor, si Tera,
and Abram (that is, Abraham).	si Abram nga mao si Abraham.
The sons of Abraham: Isaac and Ishmael.	Ang mga anak nga lalaki ni Abraham mao si Isaac ug si Ismael.
Mishma, Dumah, Massa, Hadad, Tema,	si Misma, si Duma, si Masa, si Hadad, si Tema,
Jetur, Naphish and Kedemah. These were the sons of Ishmael.	si Jetur, si Nafis ug si Kedema. Kini mao ang mga anak nga lalaki ni Ismael.
The sons of Midian: Ephah, Epher, Hanok, Abida and Eldaah. All these were descendants of Keturah.	Ang mga anak nga lalaki ni Midian: si Efa, si Efer, si Hanok, si Abida ug si Eldaa. Kining tanan mao ang mga kaliwat ni Ketura.
Abraham was the father of Isaac. The sons of Isaac: Esau and Israel.	Si Abraham mao ang amahan ni Isaac. Ang mga anak nga lalaki ni Isaac: si Esau ug si Israel.
The sons of Esau: Eliphaz, Reuel, Jeush, Jalam and Korah.	Ang mga anak nga lalaki ni Esau: Si Elifas, si Reuel, si Jeus, si Halam ug si Kora.
The sons of Eliphaz: Teman, Omar, Zepho, Gatam and Kenaz; by Timna: Amalek.	Ang mga anak nga lalaki ni Elifas: si Teman, si Omar, si Sefi, si Gatam, si Kenas, si Timna ug si Amalek.
The sons of Reuel: Nahath, Zerah, Shammah and Mizzah.	Ang mga anak nga lalaki ni Reuel: si Nahat, si Zera, si Samma ug si Misa.
The sons of Seir: Lotan, Shobal, Zibeon, Anah, Dishon, Ezer and Dishan.	Ang mga anak nga lalaki ni Seir: si Lotan, si Sobal, si Zibeon, si Ana, si Dison, si Eser ug si Disan.
The sons of Lotan: Hori and Homam. Timna was Lotan’s sister.	Ang mga anak nga lalaki ni Lotan: si Hori ug si Homam, ug ang igsoong babaye ni Lotan mao si Timna.
The son of Anah: Dishon. The sons of Dishon: Hemdan, Eshban, Ithran and Keran.	Ang mga anak nga lalaki ni Ana mao si Dison ug ang mga anak nga lalaki ni Dison: si Hamran, si Esban, si Itran, ug si Keran.
The sons of Ezer: Bilhan, Zaavan and Akan. The sons of Dishan : Uz and Aran.	Ang mga anak nga lalaki ni Eser: si Bilhan, Zaavan, ug si Jaakan. Ang mga anak nga lalaki ni Disan: si Uz ug si Aran.
Hadad also died. The chiefs of Edom were: Timna, Alvah, Jetheth,	Ug si Hadad namatay. Ang mga pangulo sa Edom mao si Timna, si Alia, si Jetet,
Oholibamah, Elah, Pinon,	si Oholibama, si Ela, si Pinon,
Kenaz, Teman, Mibzar,	si Kenas, si Teman, si Mibsar,
Magdiel and Iram. These were the chiefs of Edom.	si Magdiel ug si Iram. Kini mao ang mga pangulo sa Edom.
These were the sons of Israel: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,	Mao kini ang mga anak nga lalaki ni Israel: si Ruben, si Simeon, si Levi, si Juda, si Isacar, si Zabulon,
Dan, Joseph, Benjamin, Naphtali, Gad and Asher.	si Dan, si Jose, si Benjamin, si Neftali, si Gad ug si Aser.
Judah’s daughter-in-law Tamar bore Perez and Zerah to Judah. He had five sons in all.	Ug si Tamar nga iyang umagad nga babaye nanganak usab alang kaniya kang Peres ug Zera. Lima kabuok ang tanang anak ni Juda.
The sons of Perez: Hezron and Hamul.	Ang mga anak nga lalaki ni Peres: si Hesron ug si Hamul.
The sons of Zerah: Zimri, Ethan, Heman, Kalkol and Darda —five in all.	Ang mga anak nga lalaki ni Zera: si Zimri, si Etan, si Heman, si Calcol ug si Dara; lima ang tanan.
The son of Ethan: Azariah.	Ang anak nga lalaki ni Etan mao si Asarias.
The sons born to Hezron were: Jerahmeel, Ram and Caleb.	Ang mga anak nga lalaki ni Hesron nga natawo kaniya: si Jerameel, si Ram ug si Caleb.
Nahshon was the father of Salmon, Salmon the father of Boaz,	Si Nahason mao ang amahan ni Salmon, ug si Salmon ni Boas.
Boaz the father of Obed and Obed the father of Jesse.	Si Boas ni Obed, si Obed ni Jesse.
Jesse was the father of Eliab his firstborn; the second son was Abinadab, the third Shimea,	Si Jesse mao ang amahan ni Eliab nga iyang kamagulangan, si Abinadab ang ikaduha, ug si Simea ang ikatulo,
the fourth Nethanel, the fifth Raddai,	si Netanael ang ikaupat, si Radai ang ikalima,
the sixth Ozem and the seventh David.	si Osem ang ikaunom, si David ang ikapito;
Abigail was the mother of Amasa, whose father was Jether the Ishmaelite.	Si Abigail nanganak kang Amasa ug ang amahan ni Amasa mao si Jeter nga Ismaelinhon.
When Azubah died, Caleb married Ephrath, who bore him Hur.	Sa pagkamatay ni Asuba, gipangasawa ni Caleb si Efrata nga nanganak alang kaniya kang Hur.
Hur was the father of Uri, and Uri the father of Bezalel.	Si Hur mao ang amahan ni Uri ug si Uri mao ang amahan ni Besalel.
Segub was the father of Jair, who controlled twenty-three towns in Gilead.	Ug si Segub mao ang amahan ni Jair nga may 23 ka lungsod sa yuta sa Gilead.
The sons of Onam: Shammai and Jada. The sons of Shammai: Nadab and Abishur.	Ang mga anak nga lalaki ni Onam mao si Samai ug si Jada. Ang mga anak nga lalaki ni Samai mao si Nadab ug si Abisur.
Abishur’s wife was named Abihail, who bore him Ahban and Molid.	Ang ngalan sa asawa ni Abisur mao si Abihail, ug nanganak siya alang kaniya kang Aban ug kang Molid.
The sons of Nadab: Seled and Appaim. Seled died without children.	Ang mga anak nga lalaki ni Nadab: si Seled ug si Apaim. Apan si Seled namatay nga walay anak.
The sons of Jada, Shammai’s brother: Jether and Jonathan. Jether died without children.	Ang mga anak nga lalaki ni Jada nga igsoon ni Samai: si Jeter ug si Jonatan. Ug si Jeter namatay nga walay anak.
The sons of Jonathan: Peleth and Zaza. These were the descendants of Jerahmeel.	Ang mga anak nga lalaki ni Jonatan: si Pelet ug si Zaza. Kini mao ang mga kaliwat ni Jerameel.
Sheshan gave his daughter in marriage to his servant Jarha, and she bore him Attai.	Busa gipaasawa ni Sesan ang iyang anak nga babaye kang Jarha nga iyang ulipon ug nanganak kini kang Atai.
The sons of Hebron: Korah, Tappuah, Rekem and Shema.	Ang mga anak nga lalaki ni Hebron: si Kora, si Tapua, Rekem ug si Sema.
Shema was the father of Raham, and Raham the father of Jorkeam. Rekem was the father of Shammai.	Si Sema mao ang amahan ni Raham nga amahan ni Jorkeam ug si Rekem mao ang amahan ni Samai.
The son of Shammai was Maon, and Maon was the father of Beth Zur.	Ang anak nga lalaki ni Samai mao si Maon, ug si Maon, mao nga amahan ni Betsur.
The sons of Jahdai: Regem, Jotham, Geshan, Pelet, Ephah and Shaaph.	Ang mga anak nga lalaki ni Jadai: si Regem, si Jotam, si Gesan, si Pelet, si Efa ug si Saaf.
Caleb’s concubine Maakah was the mother of Sheber and Tirhanah.	Si Maaca nga puyopuyo ni Caleb nanganak kang Seber ug kang Tirhana.
Salma the father of Bethlehem, and Hareph the father of Beth Gader.	si Salma nga amahan ni Betlehem ug si Haref nga amahan ni Betgader.
There were also Ibhar, Elishua, Eliphelet,	Unya si Ibhar, si Elisama, si Elifelet,
Nogah, Nepheg, Japhia,	si Noga, si Nefeg, si Japia,
Elishama, Eliada and Eliphelet—nine in all.	si Elisama, si Eliada, ug si Elifelet, siyam.
All these were the sons of David, besides his sons by his concubines. And Tamar was their sister.	Kining tanan mga anak ni David gawas sa mga anak sa mga puyopuyo, ug si Tamar maoy ilang igsoon nga babaye.
The sons of Josiah: Johanan the firstborn, Jehoiakim the second son, Zedekiah the third, Shallum the fourth.	Ang mga anak ni Josias: ang kamagulangan si Johanan, ang ikaduha si Jehoiakim, ang ikatulo si Zedekias, ang ikaupat si Sallum.
The successors of Jehoiakim: Jehoiachin his son, and Zedekiah.	Ang mga anak ni Jehoiakim: si Jeconias nga iyang anak ug si Zedekias nga iyang anak.
The descendants of Jehoiachin the captive: Shealtiel his son,	Ang mga anak nga lalaki ni Jeconias nga binihag: si Sealtiel nga iyang anak,
Malkiram, Pedaiah, Shenazzar, Jekamiah, Hoshama and Nedabiah.	si Malkiram, si Pedaias, si Senasar, si Jekamias, si Hosama ug si Nedabias.
There were also five others: Hashubah, Ohel, Berekiah, Hasadiah and Jushab-Hesed.	si Hasuba, si Ohel, si Berekias, si Hasadia ug si Jusab-hesed, lima.
The sons of Neariah: Elioenai, Hizkiah and Azrikam—three in all.	Ang mga anak nga lalaki ni Nearias: si Elioenai, si Hiskias ug si Asricam, tulo.
The sons of Elioenai: Hodaviah, Eliashib, Pelaiah, Akkub, Johanan, Delaiah and Anani—seven in all.	Ang mga anak nga lalaki ni Elioenai: si Hodavias, si Eliasib, si Pelaias, si Akub, si Johanan, si Delaias ug si Anani, pito.
The descendants of Judah: Perez, Hezron, Karmi, Hur and Shobal.	Ang mga anak nga lalaki ni Juda: si Peres, si Hesron, si Carmi, si Hur ug si Sobal.
