msb	hil
Mga kamaranghod sa pagtuod sa Dios dida sa Corinto kag mga ada sa entiro Grecia na mga tawo san Dios, ini na surat hali sa akon, si Pablo na nagin apostol ni Cristo Jesus sa pagbuot san Dios, kag hali man kan Timoteo na aton kamanghod sa pagtuod.	Ako si Pablo, apostol ni Cristo Jesus suno sa kabubot-on sang Dios, kag si Timoteo nga aton utod nagasulat sa iglesia sang Dios nga yara sa Corinto, kag sa tanan nga mga tumoluo sa bug-os nga probinsya sang Acaya:
Nagapangadyi kami na an Dios na aton Ama kag an Ginooʼn Jesu-Cristo magaataman sa iyo sin maayo kag magapalinaw san iyo isip.	Kabay nga ang Dios nga aton Amay kag si Jesu-Cristo nga aton Ginoo maghatag sa inyo sing pagpakamaayo kag paghidait.
Umawon an Dios na Ama san aton Ginoo na si Jesu-Cristo. Ini na Dios an Ama na maluluy-on kag ginhalinan san tanan na kaliawan,	Magpasalamat kita sa Dios kag Amay sang aton Ginoong Jesu-Cristo, ang maluloy-on nga Amay, ang Dios nga ginahalinan sang tanan nga bulig!
na nakaliaw sa amon sa tanan na mga kasamukan. Kaya, makaliaw man kami sadtoʼn may mga iba-iba na klaseʼn kasamukan paagi san kaliawan mismo na ginhatag sa amon san Dios.	Ginabuligan niya kita sa tanan naton nga mga kalisdanan, agod nga paagi sa bulig nga aton nabaton sa Dios, makabulig man kita sa iban sa tanan nila nga mga kalisdanan.
Matuod ini kay kun sing-ano kabugana an pakibahin namon sa mga pagtios ni Cristo, amo man an kabugana san pakibahin namon sa iya kalipayan.	Subong nga nagaambit kita sa madamo nga mga pag-antos ni Cristo, amo man paagi kay Cristo nagaambit kita sang daku nga bulig sang Dios.
Kun nagatios kami sa pagtukdo san Maayo Na Barita, ina agod maisalbar kamo kag mapalipay. Kun napapalipay kami san Dios sa pagtios, amo man ina an makapalipay sa iyo kag mapasarig agod matiusan niyo na may pasensya an sugad na kasakitan na amon ginatios.	Kon kami nagaantos, ini para sa pagbulig sa inyo kag para sa inyo kaluwasan. Kon kami nabuligan, ti kamo man nabuligan kag nahatagan sing kusog sa pagbatas nga may pagpailob sang amo man nga mga pag-antos nga amon ginabatas.
Masarig gayod an paglaom namon sa iyo kay maaram kami na kun sing-ano an pakibahin niyo sa amon mga pagtios amo man an pakibahin niyo sa amon kaliawan.	Gani, malig-on ang amon pagsalig sa inyo. Nakahibalo kami nga subong nga kamo nagaambit sang amon mga pag-antos, kamo man nagaambit sang bulig nga amon ginabaton.
Mga kamaranghod sa pagtuod, gusto namon na maaraman niyo an kasamukan na ginaagihan namon didto sa probinsya san Asia kay grabe gayod idto na dili ikasabi kag dili makaya, mala ngani kay nawara na an amon paglaom na mabuhay pa.	Mga utod, luyag namon nga mahibaluan ninyo ang mga kabudlayan nga amon naagihan sa probinsya sang Asia. Ang mga palas-anon nga ginpapas-an sa amon tama gid kadako kag kabug-at, sa bagay nga wala na kami maglaom nga mabuhi pa.
Matuod man gayod kay nabatyagan namon na baga man lang kamiʼn ginkondinar sin kamatayon. Pero pagpadumdom lang ini na dili kami magsarig sa amon lang gayod kakayahan kundi sa Dios lang na nagabuhay san patay.	Nagbatyag kami nga indi na kami makalikaw sa kamatayon. Pero natabo ini, agod indi kami dapat magsalig sa amon kaugalingon, kundi sa Dios lamang nga nagabanhaw sang mga patay.
Mala ngani kay ginsalbar kami niya sa pinakapeligroso na kamatayon kag padayon na isasalbar niya. Nagalaom man kami sa iya na isasalbar gihapon kami.	Ginluwas niya kami sa daku nga katalagman sang kamatayon, kag magaluwas sia sa amon sa palaabuton. Kag nagasalig kami sa iya, nga sia magapadayon sa pagluwas sa amon,
