msb,hil
"Ginagalangan na Teofilo, damo na an nagtalinguha pagtipon sin mga istorya manungod san mga nangyari na didi.",Halangdon nga Teofilo:
An inda gintipon amo an ginpaaram na sa amon sadtoʼn sa katuna-tunai pa mga testigos kag mga paratukdo san Maayo Na Barita.,Madamo na nga mga tawo ang nagtinguha sa pagsulat sing sugilanon nahanungod sang mga butang nga nagkalatabo sa tunga namon.
Kaya pakatapos na masusi ko gayod tuna sa tuna hasta sa katapusan an tanan na pangyari nagtalinguha ako na isurat sa imo an pasurunod sani,Ginsulat nila ang ginsugid sa amon sang mga nakakita sini nga mga butang kag sang mga nagwali sang mensahe halin sa ginsugoran.
agod maaraman mo an kamatuudan manungod san tanan na gintukdo sa imo.,"Gani, tungod kay nausisa ko sing tul-id ini tanan nga mga butang halin sa ila ginsugoran, ginpakamaayo ko ang pagsulat sang pasunod nga kasaysayan sa imo,"
Amo ini an nangyari. San si Herodes pa an hadi san Judea igwaʼn padi sa grupo ni Abias na an ngaran Zacarias. An asawa niya si Elisabet hali sa lahi ni Aaron.,agod mahibaluan mo ang bug-os nga kamatuoran nahanungod sa mga butang nga natudlo na sa imo.
Pareho sinda mga matanos sa mata san Dios kay ginasunod gayod ninda sin maayo an tanan na mga kasuguan kag mga katukduan san Ginoo.,"Sang tion nga si Herodes amo ang hari sang Judea, may isa ka pari nga ginhingalanan kay Zacarias sa linya sang pagkapari ni Abias. Ang iya asawa si Elisabet nga kaliwat man sang panimalay sang mga pari."
Kaya lang wara sinda sin anak kay baog si Elisabet kag sinda pareho na gurang.,"Nagkabuhi sila sing matarong sa panulok sang Dios, kag nagtuman sang tanan nga mga kasugoan kag mga pagsulondan sang Ginoo."
"Usad sin adlaw, nagasirbe an grupo ni Zacarias sa templo san Dios bilang padi.",Wala sila sing bata tungod kay si Elisabet baw-as kag tigulang na sila.
"Susog san nakaugalian san mga kapadian, napili si Zacarias paagi sa pagripa na magsulod sa templo san Ginoo agod magsamba didto paagi san pagsunog sin pahumot na insenso.","Isa ka adlaw, turno na sang grupo ni Zacarias ang pag-alagad kag sia ang nag-alagad bilang isa ka pari sang Dios."
Sa luwas naman an tanan na katawuhan nagapangadyi myintras ginasunog an insenso.,"Suno sa kinabatasan sang mga pari, nagabotgabot sila kag sia ang napilian sa pagsunog sang insyenso sa altar. Gani nagsulod sia sa Templo sang Ginoo,"
Didto sa sulod may nakita si Zacarias na anghel san Ginoo na nakatindog sa banda tuo san altar na ginasunugan san insenso.,samtang ang madamo nga mga tawo nagapangamuyo sa gwa sa tion nga ginasunog ang insyenso.
Nangarat siya kag nakabatyag sin kahadlok.,May nagpakita didto sa iya nga isa ka anghel sang Ginoo nga nagatindog sa tuo nayon sang altar sa diin ginasunog ang insyenso.
"Pero nagsabi an anghel sa iya, “Zacarias, ayaw kahadlok kay ginpamatian na san Dios an imo pangadyi. Kaya magkakaanak kamo ni Elisabet sin lalaki kag siya pagangaranan niyoʼn Juan.",Sang pagkakita ni Zacarias sa anghel natublag sia kag hinadlukan gid.
“Igakalipay mo gayod siya kag amo man san kadamuan pagkaanak sa iya.,"Pero ang anghel nagsiling sa iya, “Zacarias, indi ka magkahadlok! Ginpamatian sang Dios ang imo pangamuyo kag si Elisabet nga imo asawa magaanak sing isa ka bata nga lalaki. Pagahingalanan mo sia kay Juan."
Magigin labaw siya sa mata san Ginoo kag dili gayod siya magainom sin bino o makahubog na irimnon. Bisan adto pa siya sa tiyan san iya iloy ada na sa iya an Espirito Santo.,"Magamalipayon kag magamasinadyahon ka, kag madamo ang magakalipay kon matawo sia!"
Damo na mga taga-Israel an pagapabalikon niya sa Ginoo na inda Dios.,Kay mangindaku sia sa panulok sang Ginoo. Indi sia mag-inom sing bino ukon ilimnon nga makahulobog. Kag mapun-an sia sang Espiritu Santo halin gid sa iya pagkatawo.
Magauna siya sa Ginooʼn Jesus pareho sa espirito kag poder ni Elias na propeta san Dios kasadto para papalanggaon gihapon an mga ama sa inda mga anak kag an mga sutil na mapabalik sa kadunungan pareho san mga matanos agod mapreparar an mga tawo na magin angay sa Ginoo.”,Pabalikon niya ang madamo nga mga tawo sang Israel sa Ginoo nga ila Dios.
"Ginhunga ni Zacarias an anghel, “Pan-o ako makasiguro sani? Gurang na ako kag amo man an akon asawa.”",Magauna sia sa Ginoo sa kusog kag gahom kaangay kay Elias nga propeta. Pasag-ulion niya ang mga amay sa ila mga anak. Palisuon niya ang mga di-masinulondon nga mga tawo pabalik sa panghunahuna sang mga matarong. Amanon niya ang mga tawo para sa Ginoo.”
"Nagsabat an anghel, “Ako si Gabriel na suruguon sa atubangan san Dios kag sinugo niya ako agod ipaabot sa imo ini na mga maayo na barita.","Si Zacarias nagpamangkot sa anghel, “Ano ang pagkahibalo ko kon matuod ini? Tigulang na ako kag subong man ang akon asawa.”"
Tandai ini! Magigin apa ka kag dili ka makasurmaton hasta na dili ini mangyari tungod na dili ka nagatuod san mga ginapangsabi ko sa imo na matuod man gayod na mangyayari sa tama na panahon.”,"Ang anghel nagsabat sa iya, “Ako si Gabriel nga nagatindog sa presensya sang Dios. Ginpadala niya ako sa paghambal kag sa pagsugid sa imo sining maayong balita."
Myintras an mga tawo sa luwas na nagahulat kan Zacarias nagngaralas kun nano kay nadugay siya sa sulod.,"Pero tungod kay wala ka magpati sang akon ginsugid sa imo nga matuman sa nagakaigo nga tion, magaapa ka. Indi ka makahambal tubtob sa adlaw nga matuman ining mga butang nga ginsiling ko.”"
San pagluwas niya wara na siya makasurmaton sa inda kag nagapasabot na lang sa inda paagi san kamot kay apa na siya. Kaya napanginanuhan ninda na si Zacarias nakakita sin pangitaon didto.,"Sa amo man nga tion, ang mga tawo naghinulat kay Zacarias. Natingala sila nga nadugayan sia sa sulod sang Templo."
