source,reference,translation
"But they that are minded to be rich fall into a temptation and a snare and many foolish and hurtful lusts, such as drown men in destruction and perdition.","Ngunit ang mga nagnanais yumaman ay nahuhulog sa tukso, at nabibitag sa maraming hangal at nakapipinsalang pagnanasa, na siyang naglulubog sa mga tao sa pagkawasak at kapahamakan.","Ngunit ang mga nagnanais na maging mayaman ay sumira sa tukso, sa silo, at sa maraming hangal at nakakasakit na pagnanasa, na nahuhulog ang mga tao sa pagkawasak at pagkawasak."
This was the first enrolment made when Quirinius was governor of Syria.,Ito ang unang pagtatala na ginawa nang si Quirinio ay gobernador sa Siria.,Ito ang unang pagsulat na ginawa nang si Quirinius ay gobernador ng Siria.
"But Martha was cumbered about much serving; and she came up to him, and said, Lord, dost thou not care that my sister did leave me to serve alone? bid her therefore that she help me.","Ngunit si Marta ay naaabala sa maraming paglilingkod. Siya'y lumapit sa kanya at sinabi, “Panginoon, wala bang anuman sa iyo na pinabayaan ako ng aking kapatid na maglingkod na mag-isa? Sabihin mo nga sa kanya na tulungan ako.”","Ngunit si Marta ay nag-aalala tungkol sa maraming paglilingkod, kaya't siya'y lumapit sa kanya at nagsabi, Panginoon, hindi ka ba nagmamalasakit na iniwan ako ng aking kapatid na mag-isa upang maglingkod? Kaya't sabihin mo sa kanya na tulungan niya ako."
"He therefore that sweareth by the altar, sweareth by it, and by all things thereon.","Kayong mga bulag! Sapagkat alin ba ang higit na dakila, ang handog o ang dambana na nagpapabanal sa handog?","Kaya't ang nagsumpa sa altar, nagsumpa sa altar at sa lahat ng mga bagay sa ibabaw nito."
"And the high priest rent his clothes, and saith, What further need have we of witnesses?","Pinunit ng pinakapunong pari ang kanyang damit at nagsabi, “Ano pang kailangan nating mga saksi?","Sinisilip ng mataas na pari ang kanyang mga damit at sinabi, Ano pa ang kailangan namin ng mga saksi?"
And with these sayings scarce restrained they the multitudes from doing sacrifice unto them.,Maging sa pamamagitan ng mga pananalitang ito ay bahagya na nilang napigil ang mga tao sa paghahandog sa kanila.,At sa pamamagitan ng mga salitang ito ay halos hindi nila tinigil ang karamihan mula sa paghahandog sa kanila.
"And when the governor had beckoned unto him to speak, Paul answered,","At ang mga Judio ay nakisama rin sa pagsasakdal, na sinasabing ang lahat ng mga ito ay totoo.","At nang tumawag sa kanya ng gobernador na magsalita, sumagot si Pablo,"
"If the world hateth you, ye know that it hath hated me before it hated you.","“Kung kayo'y kinapopootan ng sanlibutan, ay alamin ninyo na ako muna ang kinapootan nito bago kayo.","Kung kayo'y pinupugutan ng sanlibutan, alam ninyo na ako'y pinupugutan nila bago kayo."
"And Jesus looked round about, and saith unto his disciples, How hardly shall they that have riches enter into the kingdom of God!","At sa pagtingin ni Jesus sa palibot ay sinabi niya sa kanyang mga alagad, “Napakahirap para sa mga may kayamanan na pumasok sa kaharian ng Diyos.”","Pagkatapos ay tumingin si Jesus sa paligid at sinabi sa kanyang mga alagad, Kahirap na pumasok sa kaharian ng Diyos ang mga mayaman!"
"for Demas forsook me, having loved this present world, and went to Thessalonica; Crescens to Galatia, Titus to Dalmatia.","sapagkat iniwan ako ni Demas, na umibig sa sanlibutang ito, at nagtungo sa Tesalonica; si Crescente ay nagtungo sa Galacia, at si Tito ay sa Dalmacia.","Sapagka't iniwan ako ni Demas dahil sa pagmamahal niya sa mundong ito, at siya'y nagpunta sa Tesalonica; si Crescens sa Galacia, at si Tito sa Dalmatia."
