ceb	en
ug kini gisulat namo aron mahingpit ang among kalipay.	we write this to make our joy complete.
kon kita magingon nga wala kita makasala, siya atong gihimong bakakon ug wala kanato ang iyang pulong.	if we claim we have not sinned, we make him out to be a liar and his word is not in us.
ug pinaagi niini kita nahibalo nga kita nakaila kaniya, kon kita nagtuman sa iyang kasugoan.	we know that we have come to know him if we keep his commands.
siya nga nagingon nga siya anaa kaniya kinahanglan nga magkinabuhi sama sa iyang pagkinabuhi.	whoever claims to live in him must live as Jesus did.
siya nga nagingon nga anaa siya sa kahayag apan nagdumot sa iyang igsoon, kini siya anaa pa gihapon sa kangitngit.	anyone who claims to be in the light but hates a brother or sister is still in the darkness.
nagsulat ako kaninyo, mga anak, kay ang inyong mga sala gipasaylo na tungod sa iyang ngalan.	i am writing to you, dear children, because your sins have been forgiven on account of his name.
apan kamo gidihogan na niya nga balaan, ug kamong tanan nahibalo na.	but you have an anointing from the holy one, and all of you know the truth.
ug mao kini ang saad nga iyang gisaad kanato, ang kinabuhing dayon.	and this is what he promised useternal life.
gisulat ko kini kaninyo mahitungod kanila nga nagpahisalaag kaninyo,	i am writing these things to you about those who are trying to lead you astray.
ug ang tanan nga nagbaton sa maong paglaom diha kaniya nagputli sa ilang kaugalingon ingon nga siya putli man.	all who have this hope in him purify themselves, just as he is pure.
ang tanan nga nagbuhat ug sala naghimo usab ug paglapas sa balaod kay ang sala maoy paglapas sa balaod.	everyone who sins breaks the law; in fact, sin is lawlessness.
kamo nasayod nga siya gipadayag aron sa pagkuha sa mga kasalanan, ug diha kaniya walay sala.	but you know that he appeared so that he might take away our sins. and in him is no sin.
mga anak, kinahanglan nga walay magpahisalaag kaninyo. ang nagbuhat ug pagkamatarong matarong ingon nga siya matarong.	dear children, do not let anyone lead you astray. the one who does what is right is righteous, just as he is righteous.
kay ang balita nga inyong nadungog sukad sa sinugdan mao nga kinahanglang maghigugmaay kita sa usa ug usa,	for this is the message you heard from the beginning: we should love one another.
ayaw kamo kahibulong, mga igsoon, kon ang kalibotan nagdumot kaninyo.	do not be surprised, my brothers and sisters, if the world hates you.
pinaagi niini kita mahibalo nga kita iya sa kamatuoran ug makapasalig sa atong mga kasingkasing diha sa iyang atubangan	this is how we know that we belong to the truth and how we set our hearts at rest in his presence:
mga hinigugma, kon ang atong mga kasingkasing dili magsudya kanato, may pagsalig kita diha sa atubangan sa Dios,	dear friends, if our hearts do not condemn us, we have confidence before God
ang wala mahigugma wala makaila sa Dios kay ang Dios gugma.	whoever does not love does not know God, because God is love.
mga hinigugma, kon ang Dios nahigugma gayod kanato, kinahanglan nga kita usab maghigugmaay sa usa ug usa.	dear friends, since God so loved us, we also ought to love one another.
ug kita nakakita ug nagpamatuod nga ang amahan nagpadala sa iyang anak, ingon nga manluluwas sa kalibotan.	and we have seen and testify that the father has sent his son to be the savior of the world.
si bisan kinsa nga magsugid nga si Jesus mao ang anak sa Dios, ang Dios magpabilin diha kaniya, ug siya diha sa Dios.	if anyone acknowledges that Jesus is the son of God, God lives in them and they in God.
