bik,tl
Ginagalangan kong Teofilo:,"Yamang marami ang nagsikap mag-ayos ng isang kasaysayan tungkol sa mga bagay na naganap sa gitna natin,"
Dakul na an nagsurat nin maigot dapit sa mga bagay na nangyari sa tahaw nyato.,"ayon sa ipinaalam sa atin ng mga taong buhat sa pasimula ay mga saksing nakakita at mga tagapangaral ng salita,"
"Isinurat ninda an mga bagay na inosip sato kan mga nakahiling kaiyan poon sa kapinonan, asin nagtukdo kan Marahay na Bareta.","ay minabuti ko naman, pagkatapos na siyasating mabuti ang lahat ng mga pangyayari buhat sa pasimula, na sumulat ng isang maayos na salaysay para sa iyo, kagalang-galang na Teofilo,"
"Ngunyan, ginagalangan na Teofilo, pakatapos kong adalan an gabos poon sa kapinonan, pinagmarahay ko man na isurat an pasurunod-sunod na nangyari para saimo,",upang malaman mo ang katiyakan ng mga bagay na itinuro sa iyo.
tanganing maaraman mo an bilog na katotoohan dapit sa gabos na itinukdo na saimo.,"Nang panahon ni Haring Herodes ng Judea, may isang paring ang pangalan ay Zacarias, mula sa pangkat ni Abias. Ang naging asawa niya ay isa sa mga anak na babae ni Aaron na ang pangalan ay Elizabeth."
"Kan si Herodes an hade sa Judea, may sarong padi na an ngaran Zacarias na kabilang sa grupo ni Abias. An agom niyang si Isabel gikan man sa kapadian na kapagarakian ni Aaron.","Sila'y kapwa matuwid sa harapan ng Diyos, at nabubuhay na walang kapintasan ayon sa lahat ng mga utos at alituntunin ng Panginoon."
An mag-agom na ini parehong banal; nagkukuyog sinda kan gabos na katogonan asin pagboot nin Kagurangnan.,"Subalit wala silang anak, sapagkat baog si Elizabeth at sila'y kapwa matanda na."
Alagad mayo sindang aki huli ta baog si Isabel asin pareho sindang gurang nang marahay.,"Samantalang naglilingkod siya sa Diyos bilang pari at ang kanyang pangkat ang nanunungkulan,"
"Turno kaidto kan mga pading grupo ni Zacarias na maglingkod sa Templo. Sarong aldaw, si Zacarias iyo an padi na naglingkod sa atubang nin Dios.","ayon sa kaugalian ng mga pari, napili siya sa pamamagitan ng palabunutan na pumasok sa templo ng Panginoon at magsunog ng insenso."
Kaugalean nin mga padi na magripa tanganing aramon kun siisay an matutong kan insenso sa altar; asin si Zacarias an napili. Kaya naglaog siya sa templo nin Kagurangnan.,"At sa oras ng paghahandog ng insenso, ang napakaraming tao ay nananalangin sa labas."
"Sa oras nin pagtutong kan insenso, namimibi sa luwas an dakul na tawo.",Nagpakita sa kanya ang isang anghel ng Panginoon na nakatayo sa gawing kanan ng dambana ng insenso.
Nagpahiling saiya an sarong anghel nin Kagurangnan na nagtitindog sa too kan altar nin insenso.,"Nang makita niya ang anghel, nasindak at natakot si Zacarias."
"Kan mahiling ni Zacarias an anghel, nakubhanan siya asin inabtan nin makuring takot.","Subalit sinabi sa kanya ng anghel, “Huwag kang matakot, Zacarias, sapagkat pinakinggan ang panalangin mo at ang asawa mong si Elizabeth ay magsisilang sa iyo ng isang anak na lalaki at tatawagin mo siya sa pangalang Juan."
"Alagad sinabihan siya kan anghel, “Dai ka matakot, Zacarias! Dinangog nin Dios an pamibi mo; mangangaki nin lalaki an saimong agom, asin Juan an ingangaran mo sa aki.",Ikaw ay magkakaroon ng kaligayahan at kagalakan at marami ang matutuwa sa kanyang pagsilang.
"Dakulang kaogmahan an maabot saimo, asin dakul an maoogma sa saiyang pagkamundag,","Sapagkat siya'y magiging dakila sa harapan ng Panginoon, at hindi siya iinom ng alak o matapang na inumin. Siya'y mapupuno ng Espiritu Santo mula pa sa sinapupunan ng kanyang ina."
huli ta siya magigin dakulang tawo sa atubang nin Kagurangnan. Dai siya mainom nin arak o anoman na maisog na inomon. Mapapano siya kan Espiritu Santo maski nasa tulak pa sana siya kan saiyang ina.,Marami sa mga anak ni Israel ang panunumbalikin niya sa Panginoon nilang Diyos.
Kadakul na mga aki nin Israel an ibabalik niya sa Kagurangnan na saindang Dios.,"Siya'y lalakad sa unahan niya sa espiritu at kapangyarihan ni Elias, upang papanumbalikin ang mga puso ng mga magulang sa kanilang mga anak, at ang mga suwail sa karunungan ng mga matuwid, upang ihanda ang isang bayang nakalaan sa Panginoon.”"
"Maeenot siya sa Kagurangnan, may kosog asin kapangyarihan na arog ki Propeta Elias, tanganing an mga ama makiolian sa mga aki, asin tanganing pabalikon an mga tawong masombikal sa kadonongan kan mga matanos. Aandamon niya para sa Kagurangnan an sarong banwaan.”","Sinabi ni Zacarias sa anghel, “Paano ko malalamang gayon nga? Sapagkat ako ay matanda na at ang aking asawa ay puspos na ng mga araw.”"
"Hinapot ni Zacarias an anghel, “Paano ko maaaraman ini? Gurang na ako asin gurang na an sakong agom?”","At sinagot siya ng anghel, “Ako si Gabriel na tumatayo sa harapan ng Diyos. Ako'y sinugo upang makipag-usap at ipahayag sa iyo itong magandang balita."
"Nagsimbag an anghel, “Ako si Gabriel na naglilingkod sa atubang nin Dios. Sinugo ako nganing taraman ka asin darahon saimo an marahay na baretang ini.","Subalit ngayon, sapagkat hindi ka naniwala sa aking mga salita na magaganap sa kanilang kapanahunan, ikaw ay magiging pipi at di makapagsasalita, hanggang sa araw na mangyari ang mga bagay na ito.”"
"Alagad huli ta dai ka nagtubod sa mga sinabi ko na mangyayari pag-abot kan talaan na panahon, mapopola ka sagkod sa aldaw na maotob an mga itinaram ko saimo.”","Samantala, hinihintay ng mga tao si Zacarias at nagtaka sila sa kanyang pagtatagal sa loob ng templo."
An mga tawo nagparahalat ki Zacarias. Nagngalas sinda huli ta haloyon siya duman sa laog kan templo.,"Nang lumabas siya, hindi siya makapagsalita sa kanila. Inakala nila na siya'y nakakita ng isang pangitain sa templo. Siya'y nakipag-usap sa kanila sa pamamagitan ng mga hudyat, at siya'y nanatiling pipi."
"Kan magluwas na siya, dai na siya nakakataram, mga senyas na sana an ginamit niya; kaya aram nindang nakahiling siya nin bisyon sa laog kan Templo. Poon kaidto, nagin pola si Zacarias.","Nang matapos na ang mga araw ng kanyang paglilingkod, siya'y umuwi sa kanyang bahay."
"Kan tapos na an panahon kan paglingkod ni Zacarias sa Templo, nagpuli siya.","Pagkalipas ng mga araw na ito ay naglihi ang kanyang asawang si Elizabeth. Siya ay nagtago nang limang buwan, na nagsasabi,"
Dai nahaloy nangidam an agom niyang si Isabel; dai ini nagluwas-luwas sa harong sa laog nin limang bulan.,“Ganito ang ginawa ng Panginoon sa akin nang mga araw na ako'y kanyang bigyang-pansin upang alisin ang aking kahihiyan sa gitna ng mga tao.”
"An sabi ni Isabel, “Ngunyan naherakan ako nin Kagurangnan; ginibo niya ini nganing mahale an kasopogan ko!”","Nang ikaanim na buwan, sinugo ng Diyos ang anghel na si Gabriel sa isang bayan ng Galilea, na tinatawag na Nazaret,"
"Kan ikaanom nang bulan kan pagbados ni Isabel, an anghel na si Gabriel sinugo nin Dios sa sarong banwaan nin Galilea, na an ngaran Nazaret,","sa isang birheng nakatakdang ikasal sa isang lalaki, na ang pangalan ay Jose, mula sa sambahayan ni David. Ang pangalan ng birhen ay Maria."
"sa sarong birhen na ikinasal ki Jose na gikan sa kapagarakian ni David, asin an ngaran kan birhen Maria.","Lumapit ang anghel sa kanya, at sinabi, “Magalak ka, ikaw na pinagpala! Ang Panginoon ay sumasaiyo.”"
"Nagdolok ki Maria an anghel dangan nagsabi, “An katoninongan mapasaimo, paladan na babae! An Kagurangnan yaon saimo!”",Subalit siya'y lubhang naguluhan sa sinabing iyon at inisip niya sa kanyang sarili kung anong uri ng pagbati kaya ito.
Natikbahan si Maria kan mga tataramon na ini asin pinag-isip-isip niya kun ano an kahulogan kaiyan.,"Sinabi sa kanya ng anghel, “Huwag kang matakot, Maria, sapagkat nakatagpo ka ng paglingap sa Diyos."
