en,ceb
"Adam, Seth, enosh,","si adan, si set, si enos,"
"kenan, mahalalel, jared,","si kenan, si mahalalel, si jared,"
"Enoch, methuselah, lamech, Noah.","si enoc, si metusela, si lamec,"
"the sons of Noah: Shem, Ham and Japheth.","si noe, si sem, si Ham ug si jafet."
"the sons of gomer: ashkenaz, riphath and togarmah.","ang mga anak nga lalaki ni gomer: si askenas, si rifat ug si togarma."
"the sons of javan: elishah, tarshish, the kittites and the rodanites.","ang mga anak nga lalaki ni javan: si elisa, si tarsis, si kitim ug si bodanim."
"the sons of Ham: cush, Egypt, put and Canaan.","ang mga anak nga lalaki ni Ham: si cus, si Ehipto, si put ug si Canaan."
"cush was the father of nimrod, who became a mighty warrior on earth.",si cus maoy amahan ni nimrod; siya ang unang bantogan dinhi sa yuta.
"Egypt was the father of the ludites, anamites, lehabites, naphtuhites,","si Ehipto mao ang amahan sa mga ludihanon, anamihanon, lihabihanon, naftuhanon,"
"pathrusites, kasluhites (from whom the Philistines came) and caphtorites.","patrusihanon, casluhanon (diin naggikan ang mga filistihanon) ug sa mga caftorihanon."
"Jebusites, Amorites, girgashites,","ug sa mga jebusihanon, sa mga amorihanon, sa mga girgasihanon,"
"Hivites, arkites, sinites,","sa mga hibihanon, sa mga arkihanon, mga sinihanon,"
"arvadites, zemarites and hamathites.","sa mga arbadihanon, sa mga zemarihanon ug sa mga hamatihanon."
"arphaxad was the father of shelah, and shelah the father of eber.","si arpacsad mao ang amahan ni sela, ug si sela mao ang amahan ni eber."
"joktan was the father of almodad, sheleph, hazarmaveth, jerah,","si joktan mao ang amahan ni almodad, ni selep, ni hasarmabet, ni jera,"
"hadoram, uzal, diklah,","ni hadoram, ni usal, ni dikla,"
"obal, abimael, sheba,","ni ebal, ni abimael, ni sheba,"
"ophir, havilah and jobab. all these were sons of joktan.","ni ofir, ni habila ug ni jobab. kini silang tanan mga anak ni joktan."
"Shem, arphaxad, shelah,","si sem, si arpacsad, si sela,"
"eber, peleg, reu,","si eber, si peleg, si reu,"
"serug, nahor, terah","si serug, si nahor, si tera,"
"and abram (that is, Abraham).",si abram nga mao si Abraham.
the sons of Abraham: Isaac and ishmael.,ang mga anak nga lalaki ni Abraham mao si Isaac ug si ismael.
"mishma, dumah, massa, hadad, tema,","si misma, si duma, si masa, si hadad, si tema,"
"jetur, naphish and kedemah. these were the sons of ishmael.","si jetur, si nafis ug si kedema. kini mao ang mga anak nga lalaki ni ismael."
"the sons of midian: ephah, epher, hanok, abida and eldaah. all these were descendants of keturah.","ang mga anak nga lalaki ni midian: si efa, si efer, si hanok, si abida ug si eldaa. kining tanan mao ang mga kaliwat ni ketura."
Abraham was the father of Isaac. the sons of Isaac: Esau and Israel.,si Abraham mao ang amahan ni Isaac. ang mga anak nga lalaki ni Isaac: si Esau ug si Israel.
"the sons of Esau: eliphaz, reuel, jeush, jalam and korah.","ang mga anak nga lalaki ni Esau: si elifas, si reuel, si jeus, si halam ug si kora."
"the sons of eliphaz: teman, omar, zepho, gatam and kenaz; by timna: amalek.","ang mga anak nga lalaki ni elifas: si teman, si omar, si sefi, si gatam, si kenas, si timna ug si amalek."
"the sons of reuel: nahath, zerah, shammah and mizzah.","ang mga anak nga lalaki ni reuel: si nahat, si zera, si samma ug si misa."
"the sons of seir: lotan, shobal, zibeon, anah, dishon, ezer and dishan.","ang mga anak nga lalaki ni seir: si lotan, si sobal, si zibeon, si ana, si dison, si eser ug si disan."
the sons of lotan: hori and homam. timna was lotans sister.,"ang mga anak nga lalaki ni lotan: si hori ug si homam, ug ang igsoong babaye ni lotan mao si timna."
"the son of anah: dishon. the sons of dishon: hemdan, eshban, ithran and keran.","ang mga anak nga lalaki ni ana mao si dison ug ang mga anak nga lalaki ni dison: si hamran, si esban, si itran, ug si keran."
"the sons of ezer: bilhan, zaavan and akan. the sons of dishan :: uz and aran.","ang mga anak nga lalaki ni eser: si bilhan, zaavan, ug si jaakan. ang mga anak nga lalaki ni disan: si uz ug si aran."
"hadad also died. the chiefs of Edom were: timna, alvah, jetheth,","ug si hadad namatay. ang mga pangulo sa Edom mao si timna, si alia, si jetet,"
"oholibamah, elah, pinon,","si oholibama, si ela, si pinon,"
"kenaz, teman, mibzar,","si kenas, si teman, si mibsar,"
magdiel and iram. these were the chiefs of Edom.,si magdiel ug si iram. kini mao ang mga pangulo sa Edom.
"these were the sons of Israel: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,","mao kini ang mga anak nga lalaki ni Israel: si ruben, si Simeon, si Levi, si Juda, si isacar, si zabulon,"
"Dan, Joseph, Benjamin, Naphtali, Gad and Asher.","si Dan, si Jose, si Benjamin, si neftali, si Gad ug si aser."
judahs daughterinlaw tamar bore perez and zerah to Judah. he had five sons in all.,ug si tamar nga iyang umagad nga babaye nanganak usab alang kaniya kang peres ug zera. lima kabuok ang tanang anak ni Juda.
the sons of perez: hezron and hamul.,ang mga anak nga lalaki ni peres: si hesron ug si hamul.
"the sons of zerah: zimri, ethan, heman, kalkol and darda —five in all.","ang mga anak nga lalaki ni zera: si zimri, si etan, si heman, si calcol ug si dara; lima ang tanan."
the son of ethan: azariah.,ang anak nga lalaki ni etan mao si asarias.
"the sons born to hezron were: jerahmeel, ram and Caleb.","ang mga anak nga lalaki ni hesron nga natawo kaniya: si jerameel, si ram ug si Caleb."
"nahshon was the father of salmon, salmon the father of Boaz,","si nahason mao ang amahan ni salmon, ug si salmon ni boas."
Boaz the father of obed and obed the father of jesse.,"si boas ni obed, si obed ni jesse."
"jesse was the father of eliab his firstborn; the second son was abinadab, the third shimea,","si jesse mao ang amahan ni eliab nga iyang kamagulangan, si abinadab ang ikaduha, ug si simea ang ikatulo,"
"the fourth nethanel, the fifth raddai,","si netanael ang ikaupat, si radai ang ikalima,"
the sixth ozem and the seventh David.,"si osem ang ikaunom, si David ang ikapito;"
"abigail was the mother of amasa, whose father was jether the ishmaelite.",si abigail nanganak kang amasa ug ang amahan ni amasa mao si jeter nga ismaelinhon.
"when azubah died, Caleb married ephrath, who bore him hur.","sa pagkamatay ni asuba, gipangasawa ni Caleb si efrata nga nanganak alang kaniya kang hur."
"hur was the father of uri, and uri the father of bezalel.",si hur mao ang amahan ni uri ug si uri mao ang amahan ni besalel.
"segub was the father of jair, who controlled twentythree towns in Gilead.",ug si segub mao ang amahan ni jair nga may 23 ka lungsod sa yuta sa Gilead.
the sons of onam: shammai and jada. the sons of shammai: nadab and abishur.,ang mga anak nga lalaki ni onam mao si samai ug si jada. ang mga anak nga lalaki ni samai mao si nadab ug si abisur.
"abishurs wife was named abihail, who bore him ahban and molid.","ang ngalan sa asawa ni abisur mao si abihail, ug nanganak siya alang kaniya kang aban ug kang molid."
the sons of nadab: seled and appaim. seled died without children.,ang mga anak nga lalaki ni nadab: si seled ug si apaim. apan si seled namatay nga walay anak.
"the sons of jada, shammais brother: jether and Jonathan. jether died without children.",ang mga anak nga lalaki ni jada nga igsoon ni samai: si jeter ug si jonatan. ug si jeter namatay nga walay anak.
the sons of Jonathan: peleth and zaza. these were the descendants of jerahmeel.,ang mga anak nga lalaki ni jonatan: si pelet ug si zaza. kini mao ang mga kaliwat ni jerameel.
"sheshan gave his daughter in marriage to his servant jarha, and she bore him attai.",busa gipaasawa ni sesan ang iyang anak nga babaye kang jarha nga iyang ulipon ug nanganak kini kang atai.
"the sons of Hebron: korah, tappuah, rekem and shema.","ang mga anak nga lalaki ni Hebron: si kora, si tapua, rekem ug si sema."
"shema was the father of raham, and raham the father of jorkeam. rekem was the father of shammai.",si sema mao ang amahan ni raham nga amahan ni jorkeam ug si rekem mao ang amahan ni samai.
"the son of shammai was maon, and maon was the father of beth zur.","ang anak nga lalaki ni samai mao si maon, ug si maon, mao nga amahan ni betsur."
"the sons of jahdai: regem, jotham, geshan, pelet, ephah and shaaph.","ang mga anak nga lalaki ni jadai: si regem, si jotam, si gesan, si pelet, si efa ug si saaf."
calebs concubine maakah was the mother of sheber and tirhanah.,si maaca nga puyopuyo ni Caleb nanganak kang seber ug kang tirhana.
"salma the father of Bethlehem, and hareph the father of beth gader.",si salma nga amahan ni betlehem ug si haref nga amahan ni betgader.
"there were also ibhar, elishua, eliphelet,","unya si ibhar, si elisama, si elifelet,"
"nogah, nepheg, japhia,","si noga, si nefeg, si japia,"
"elishama, eliada and elipheletnine in all.","si elisama, si eliada, ug si elifelet, siyam."
"all these were the sons of David, besides his sons by his concubines. and tamar was their sister.","kining tanan mga anak ni David gawas sa mga anak sa mga puyopuyo, ug si tamar maoy ilang igsoon nga babaye."
"the sons of josiah: johanan the firstborn, jehoiakim the second son, zedekiah the third, shallum the fourth.","ang mga anak ni josias: ang kamagulangan si johanan, ang ikaduha si jehoiakim, ang ikatulo si zedekias, ang ikaupat si sallum."
"the successors of jehoiakim: jehoiachin his son, and zedekiah.",ang mga anak ni jehoiakim: si jeconias nga iyang anak ug si zedekias nga iyang anak.
"the descendants of jehoiachin the captive: shealtiel his son,","ang mga anak nga lalaki ni jeconias nga binihag: si sealtiel nga iyang anak,"
"malkiram, pedaiah, shenazzar, jekamiah, hoshama and nedabiah.","si malkiram, si pedaias, si senasar, si jekamias, si hosama ug si nedabias."
"there were also five others: hashubah, ohel, berekiah, hasadiah and jushabhesed.","si hasuba, si ohel, si berekias, si hasadia ug si jusabhesed, lima."
"the sons of neariah: elioenai, hizkiah and azrikamthree in all.","ang mga anak nga lalaki ni nearias: si elioenai, si hiskias ug si asricam, tulo."
"the sons of elioenai: hodaviah, eliashib, pelaiah, akkub, johanan, delaiah and ananiseven in all.","ang mga anak nga lalaki ni elioenai: si hodavias, si eliasib, si pelaias, si akub, si johanan, si delaias ug si anani, pito."
"the descendants of Judah: perez, hezron, karmi, hur and shobal.","ang mga anak nga lalaki ni Juda: si peres, si hesron, si carmi, si hur ug si sobal."
"ashhur the father of tekoa had two wives, helah and naarah.","si asur nga amahan ni tekoa may duha ka asawa, si hela ug si naara."
"naarah bore him ahuzzam, hepher, temeni and haahashtari. these were the descendants of naarah.","si naara nanganak kang ahuzam, kang hefer, kang temeni ug kang haahastari. kini sila mao ang mga anak nga lalaki ni naara."
"the sons of helah: zereth, zohar, ethnan,","ang mga anak nga lalaki ni hela: si seret, si isar ug si etnan."
"and koz, who was the father of anub and hazzobebah and of the clans of aharhel son of harum.","si kos mao ang amahan ni anob, ni zobeba ug sa mga panimalay ni aharhel nga anak nga lalaki ni harum."
"kelub, shuhahs brother, was the father of mehir, who was the father of eshton.",si chelub nga igsoon ni suha mao ang amahan ni mehir nga amahan ni eston.
"eshton was the father of beth rapha, paseah and tehinnah the father of ir nahash. these were the men of rekah.","si eston mao ang amahan ni betrafa, ni pasea ug ni tehina nga amahan ni irnahas. kini sila mao ang mga tawo sa reca."
the sons of kenaz: othniel and seraiah. the sons of othniel: hathath and meonothai.,ang mga anak nga lalaki ni kenas: si otniel ug si seraias. ug ang mga anak nga lalaki ni otniel: si hatat ug si meonatai.
