war,en
Ginsusurat namon ini basi mahingpit an aton kalipay.,We write this to make our joy complete.
"Niyan amo ini an mensahe nga amon hinbatian tikang han iya Anak, nga karuyag namon ipahibaro ha iyo: kapawa an Dyos ngan waray gud kasisidman dida ha iya.",This is the message we have heard from him and declare to you: God is light; in him there is no darkness at all.
"Sanglit kon masiring kita nga nahiusa na kita han Dyos, kundi nagpapadayon kita hin pag-ukoy ha kasisidman, nagbibinuwa kita ha pulong ngan ha buhat.","If we claim to have fellowship with him and yet walk in the darkness, we lie and do not live out the truth."
Kundi kon nag-uokoy kita ha kapawa-sugad nga aada hiya ha kapawa—may-ada naton minagburugto nga pagkaurosa ngan an dugo ni Jesus nga iya Anak naghugas han aton ngatanan nga sala.,"But if we walk in the light, as he is in the light, we have fellowship with one another, and the blood of Jesus, his Son, purifies us from all sin."
"Kon masiring kita nga waray naton sala, naglilimbong la ngahaw kita ha aton kalugaringon, ngan waray gud dinhe ha aton an kamatuoran.","If we claim to be without sin, we deceive ourselves and the truth is not in us."
"Kon sumiring kita nga waray kita makasala, ginpapahimuwa ta an Dyos, ngan waray dinhe ha aton an iya mga pulong.","If we claim we have not sinned, we make him out to be a liar and his word is not in us."
"Ngan hi Cristo amo ngahaw an magpapasaylo han aton mga sala, diri la han aton mga sala kundi han mga sala liwat han ngatanan nga mga tawo.","He is the atoning sacrifice for our sins, and not only for ours but also for the sins of the whole world."
"Kon magtuman kita han mga sugo han Dyos, waray ruhaduha nga nakilala kita ha iya.",We know that we have come to know him if we keep his commands.
"Kon may masiring, “Nakilala ako ha iya,” kundi diri nagtutuman han iya mga sugo, buwaon ito nga tawo ngan waray kamatuoran dida ha iya.","Whoever says, “I know him,” but does not do what he commands is a liar, and the truth is not in that person."
"Kundi an nagtutuman han iya pulong amo an tawo nga may-ada hingpit nga paghigugma han Dyos. Tungod hini, waray ruhaduha nga aada kita ha iya:","But if anyone obeys his word, love for God is truly made complete in them. This is how we know we are in him:"
An nasiring nga aada hiya han Dyos kinahanglan mag-ukoy hiya hin kinabuhi nga sugad kan Jesu-Cristo.,Whoever claims to live in him must live as Jesus did.
"Aada pa gihapon ha kasisidman an bisan hin-o nga nagdudumot han iya bugto, bisan kon nasiring hiya nga aada na hiya ha kapawa.",Anyone who claims to be in the light but hates a brother or sister is still in the darkness.
"An bisan hin-o nga nahigugma han iya bugto mag-uokoy dida han kapawa, sanglit waray gud bisan ano dida ha iya nga mahihimo nga tinikangan hin pakasala han iba.","Anyone who loves their brother and sister lives in the light, and there is nothing in them to make them stumble."
"Kundi aada ha kasisidman an bisan hin-o nga nagdudumot han iya bugto; naglalakat hiya ha kasisidman ngan diri maaram kon tikain hiya, kay ginbuta man hiya han kasisidman.","But anyone who hates a brother or sister is in the darkness and walks around in the darkness. They do not know where they are going, because the darkness has blinded them."
"Nagsusurat ako ha iyo, mga anak ko, kay ginpasaylo na an iyo mga sala tungod han ngaran ni Cristo.","I am writing to you, dear children, because your sins have been forgiven on account of his name."
"Ayaw niyo higugmaa an kalibutan o bisan ano nga kanan kalibutan. Kon mahigugma kamo han kalibutan, diri kamo mahigugma han Amay.","Do not love the world or anything in the world. If anyone loves the world, love for the Father is not in them."
Magpapapas an kalibutan ngan an ngatanan nga inuungara han mga tawo; kundi an nagtutuman han kaburot-on han Dyos mabubuhi ha kadayonan.,"The world and its desires pass away, but whoever does the will of God lives forever."
"Kundi iginbubo ha iyo ni Cristo an Espirito Santo, sanglit maaram kamo ngatanan han kamatuoran.","But you have an anointing from the Holy One, and all of you know the truth."
"Sanglit nagsusurat ako ha iyo, diri tungod nga diri kamo maaram han kamatuoran, kundi tungod nga maaram kamo, ngan maaram liwat kamo nga waray buwa nga natikang han kamaturoan.","I do not write to you because you do not know the truth, but because you do know it and because no lie comes from the truth."
Hin-o man ngay-an an buwaon? Amo adton nariwa nga hi Jesus amo an Cristo. Amo ini an Kaaway ni Cristo—sinasalikway niya an Amay ngan an Anak.,Who is the liar? It is whoever denies that Jesus is the Christ. Such a person is the antichrist—denying the Father and the Son.
Kay bisan hin-o nga nasalikway han Anak nasalikway man han Amay; kundi bisan hin-o nga makarawat han Anak makarawat man liwat han Amay.,No one who denies the Son has the Father; whoever acknowledges the Son has the Father also.
Ngan amo ini an iginsaad ni Cristo ngahaw nga ihahatag ha aton—an dayon nga kinabuhi.,And this is what he promised us—eternal life.
Nagsusurat ako hini ha iyo mahitungod hadton mga nagtatalinguha hin paglimbong ha iyo.,I am writing these things to you about those who are trying to lead you astray.
"Tinuod, mga anak ko, pagpabilin kamo dida ha iya basi magmadasigon kita kon magpadayag na hiya, ngan diri kita tumago hin kaawod ha iya kon bumalik na hiya.","And now, dear children, continue in him, so that when he appears we may be confident and unashamed before him at his coming."
"Maaram kamo nga matadong hi Cristo, sanglit angay liwat hibaroan niyo nga an bisan hin-o nga nagbubuhat hin matadong anak han Diyos.","If you know that he is righteous, you know that everyone who does what is right has been born of him."
"An ngatanan nga may-ada hini nga paglaom kan Cristo, nagputli han ira kalugaringon, sugad nga putli hi Cristo.","All who have this hope in him purify themselves, just as he is pure."
An nakasala nagtatalapas han balaod han Dyos kay sala an pagtalapas han balaod.,"Everyone who sins breaks the law; in fact, sin is lawlessness."
"Sayod kamo nga kinmanhi hi Cristo pagkuha han mga sala han mga tawo, ngan waray hiya sala.",But you know that he appeared so that he might take away our sins. And in him is no sin.
Sanglit diri nagpapadayon pagpinakasala an ngatanan nga aada kan Cristo; kundi an waray pa makakita ha iyo o waray pa makakilala ha iya nagpapadayon hin pagpinakasala.,No one who lives in him keeps on sinning. No one who continues to sin has either seen him or known him.
"Ayaw kamo pagpalimbong, mga anak! An bisan hin-o nga nagbubuhat hin matadong, matadong sugad nga matadong man hi Cristo.","Dear children, do not let anyone lead you astray. The one who does what is right is righteous, just as he is righteous."
"An bisan hin-o nga anak han Dyos diri nagpapadayon hin pagpinakasala, kay aada ha iya an kinaiya han Dyos; ngan tungod nga Amay na niya an Dyos, diri na hiya makakagpadayon hin pagpinakasala.","No one who is born of God will continue to sin, because God’s seed remains in them; they cannot go on sinning, because they have been born of God."
Amo ini an hinbatian niyo nga mensahe tikang pa ha tinikangan: kinahanglan maghigugmaay kita.,For this is the message you heard from the beginning: We should love one another.
"Sanglit ayaw kamo hipausa, kabugtoan ko, kon pagdumtan kamo han mga tawo han kalibutan.","Do not be surprised, my brothers and sisters, if the world hates you."
Maaram kita nga binayaan ta na an kamatayon ngan aada na kita han kinabuhi. Maaram kita hini kay nahigugma kita han aton kabugtoan. Aada pa ha kamatayon an bisan hin-o nga diri nahigugma.,"We know that we have passed from death to life, because we love each other. Anyone who does not love remains in death."
Parapamatay an bisan hin-o nga nagdudumot han iya bugto; ngan maaram kamo nga waray dayon nga kinabuhi an parapamatay.,"Anyone who hates a brother or sister is a murderer, and you know that no murderer has eternal life residing in him."
Amo ini an pagkilala naton kon ano an gugma: iginhatag ni Cristo an iya kinabuhi tungod ha aton. Sanglit angay man naton ihatag an aton kinabuhi tungod han aton kabugtoan.,This is how we know what love is: Jesus Christ laid down his life for us. And we ought to lay down our lives for our brothers and sisters.
