en	tl
We announce to you what existed from the beginning, what we have heard, what we have seen with our eyes, what we have seen and our hands handled, about the word of life.	Yaong buhat sa pasimula, na aming narinig, nakita ng aming mga mata, aming napagmasdan, at nahipo ng aming mga kamay, tungkol sa salita ng buhay—
The life was revealed, and we have seen, and we testify and announce to you the eternal life that was with the Father and was revealed to us.	at ang buhay na ito ay nahayag, aming nakita, aming pinatototohanan, at sa inyo'y aming ibinabalita ang buhay na walang hanggan, na kasama ng Ama at sa amin ay ipinahayag.
What we have seen and heard, we also announce it to you so that you can have fellowship with us. Our fellowship is with the Father and with his Son, Jesus Christ.	Ipinahahayag namin sa inyo yaong aming nakita at narinig upang kayo rin naman ay magkaroon ng pakikisama sa amin; at tunay na ang ating pakikisama ay sa Ama at sa kanyang Anak na si Jesu-Cristo.
We are writing these things so that our joy can be complete.	Isinusulat namin ang mga bagay na ito upang ang aming kagalakan ay malubos.
This is the message that we have heard from him and announce to you: “God is light and there is no darkness in him at all.”	At ito ang mensahe na aming narinig sa kanya at sa inyo'y aming ipinahahayag, na ang Diyos ay liwanag, at sa kanya'y walang anumang kadiliman.
If we claim, “We have fellowship with him,” and live in the darkness, we are lying and do not act truthfully.	Kung sinasabi nating tayo'y may pakikisama sa kanya, at tayo'y lumalakad sa kadiliman, nagsisinungaling tayo at hindi natin ginagawa ang katotohanan.
But if we live in the light in the same way as he is in the light, we have fellowship with each other, and the blood of Jesus, his Son, cleanses us from every sin.	Ngunit kung tayo'y lumalakad sa liwanag, na tulad niya na nasa liwanag, may pakikisama tayo sa isa't isa, at ang dugo ni Jesus na kanyang Anak ang lumilinis sa atin sa lahat ng kasalanan.
If we claim, “We don’t have any sin,” we deceive ourselves and the truth is not in us.	Kung sinasabi nating tayo'y walang kasalanan, dinadaya natin ang ating sarili at ang katotohanan ay wala sa atin.
But if we confess our sins, he is faithful and just to forgive us our sins and cleanse us from everything we’ve done wrong.	Kung ipinahahayag natin ang ating mga kasalanan, siya ay tapat at banal na magpapatawad sa ating mga kasalanan at tayo'y lilinisin sa lahat ng kalikuan.
If we claim, “We have never sinned,” we make him a liar and his word is not in us.	Kung sinasabi nating tayo'y hindi nagkasala, ginagawa natin siyang sinungaling at ang kanyang salita ay wala sa atin.
