bik	tl
Surat na hale ki Pablo na apostol ni Cristo Jesus huli sa kabotan nin Dios, saka hale sa tugang tang si Timoteo.	Si Pablo, na apostol ni Cristo Jesus sa pamamagitan ng kalooban ng Diyos, at si Timoteo na ating kapatid, sa iglesya ng Diyos na nasa Corinto, kasama ng lahat ng mga banal na nasa buong Acaia:
Para sa simbahan nin Dios sa Corinto, saka para sa gabos na banal na yaon sa bilog na Grecia.	Sumainyo nawa ang biyaya at kapayapaang mula sa Diyos na ating Ama at sa Panginoong Jesu-Cristo.
Mapasaindo logod an biyaya asin katoninongan nin Dios na satong Ama asin ni Jesu-Cristo na Kagurangnan.	Purihin ang Diyos at Ama ng ating Panginoong Jesu-Cristo, ang Ama ng mga kaawaan at Diyos ng lahat ng kaaliwan;
Pasalamatan ta an Dios asin Ama ni Jesu-Cristo na satong Kagurangnan, an maheherakon na Ama, asin Dios na ginigikanan kan gabos na karangahan.	na umaaliw sa atin sa lahat ng ating kapighatian, upang maaliw natin ang nasa anumang kapighatian, sa pamamagitan ng kaaliwan na inialiw sa atin ng Diyos.
Rinaranga niya kami sa gabos ming kasakitan, tanganing an iba man na mga nagtitios maranga mi kan iyo man sanang karangahan na itinao niya samo.	Sapagkat kung paanong sumasagana sa atin ang mga pagdurusa ni Cristo, sa pamamagitan ni Cristo ay sumasagana rin sa atin ang kaaliwan.
Kun paanong kadamay kami kan dakulang kasakitan ni Cristo, siring man sa paagi ni Cristo, kahiras kami kan dakulang ranga nin Dios.	Subalit kung kami man ay pinahihirapan, ito ay para sa inyong kaaliwan at kaligtasan; at kung kami ay inaaliw, ito ay para sa inyong kaaliwan, na inyong dinanas kapag kayo'y matiyagang nagtitiis ng gayunding paghihirap na aming dinaranas.
Kun kami nasasakitan, iyan para sa saindong karangahan asin kaligtasan; kun kami rinaranga, natatabangan man kamo saka natatawan nin kosog tanganing matagalan nindo an mga sakit na arog kan tinitios mi.	Ang aming pag-asa tungkol sa inyo ay matatag, sapagkat nalalaman namin na habang kayo'y karamay sa aming pagdurusa, kayo ay karamay din sa aming kaaliwan.
Kaya masarig an paglaom mi saindo, huli ta aram mi na siring na kahiras nyamo kamo sa samong mga pagtios, kahiras man nyamo kamo sa samong karangahan.	Hindi namin ibig na di ninyo malaman, mga kapatid, ang tungkol sa mga kapighatian na naranasan namin sa Asia, sapagkat lubha kaming nabigatan ng higit sa aming kaya, anupa't kami ay nawalan na ng pag-asang mabuhay.
Mga tugang, boot ming ipagiromdom saindo an kasakitan na tinios mi duman sa Asia. Magabat na gayo an mga pasakit na inagihan mi, kaya mayo na kami nin paglaom na mabuhay pa.	Tunay na nadama namin na tinanggap na namin ang hatol na kamatayan, upang kami ay huwag magtiwala sa aming sarili, kundi sa Diyos na bumubuhay sa mga patay.
Namatean mi na garo kami hinatolan nin kagadanan. Alagad nangyari ini tanganing manarig kami bako sa sadiri ming kakayahan kundi sa Dios na iyo an nagbubuhay liwat kan mga gadan.	Siya na nagligtas sa amin mula sa kakilakilabot na kamatayan at patuloy na magliligtas; sa kanya ay inilalagak namin ang ating pag-asa na muli niya kaming ililigtas.
Ilinigtas niya kami sa makuring pag-alaman asin ililigtas pa niya kami; siya an pinaglalaoman ming magliligtas samo giraray.	Dapat din ninyo kaming tulungan sa pamamagitan ng panalangin upang marami ang magpasalamat alang-alang sa amin para sa pagpapalang ipinagkaloob sa amin bilang kasagutan sa maraming mga panalangin.
Tabangan man nindo kami kan saindong pamibi, tanganing dakul an magpasalamat para samo para sa mga biyaya na itinatao samo nin Dios bilang simbag sa dakul na mga pamibi.	Sapagkat ang aming ipinagmamalaki ay ito, ang patotoo ng aming budhi; kami ay namuhay ng wasto sa sanlibutan, at lalo na sa inyo, na may kapayakan at maka-Diyos na katapatan, hindi ayon sa karunungan ng laman, kundi sa biyaya ng Diyos.
An ipinag-oorgulyo mi iyo ini: nagpapatotoo an samong konsyensya na namuhay kaming banal saka mayo nin pagsagin-sagin digdi sa kinaban, asin orog na sa pakiiba saindo, bakong huli sa kinabanon na kadonongan kundi huli sa biyaya nin Dios.	Sapagkat hindi kami sumusulat sa inyo ng ibang mga bagay kundi kung ano ang inyong mababasa at mauunawaan; umaasa ako na lubos ninyong mauunawaan hanggang sa wakas.
13-14 Isinusurat mi saindo an mababasa saka masasabotan sana nindo. Ngunyan, an nasasabotan nindo sarong kabtang sana; alagad linalaom ko na mas masasabotan nindo kami sa Aldaw na mag-abot si Jesus na Kagurangnan; ipag-oorgulyo nindo kami siring na ipinag-oorgulyo mi man kamo.	Gaya ng inyong bahagyang pagkakilala sa amin, na kami ay inyong maipagmalaki gaya ninyo na aming ipinagmamalaki sa araw ng Panginoong Jesus.
Bilog an paniwala ko na totoo ini, kaya nagplano ako na mag-aging enot diyan saindo tanganing magkaigwa kamo nin dobleng kaogmahan.	Dahil sa pagtitiwalang ito, nais kong pumunta muna sa inyo, upang kayo'y magkaroon ng pangalawang biyaya.
Boot kong magdalaw saindo pagpasiring ko sa Macedonia dangan pagbalik ko hale duman, huli ta mahagad ako nin tabang saindo para sa pagduman ko sa Judea.	Nais kong dalawin kayo sa aking paglalakbay patungong Macedonia, at buhat sa Macedonia ay bumalik sa inyo, at nang matulungan ninyo ako sa aking paglalakbay patungong Judea.
Kan magplano ako kaini, masasabi daw nindo na pabago-bago ako nin isip? Masasabi daw na kan nagplano ako, pareho ako kan tawong kinabanon na minasabi tolos nin “Iyo” asin “Dai” nin sabay?	Ako kaya ay nag-aatubili nang naisin kong gawin ito? Ginagawa ko ba ang aking mga panukala na gaya ng taong makasanlibutan, na nagsasabi ng “Oo, oo” at gayundin ng “Hindi, hindi?”
Siring na an itinataram nin Dios totoo, an pangako ko bakong “Iyo” o “Dai.”	Ngunit kung paanong ang Diyos ay tapat, ang aming sinasabi sa inyo ay hindi “Oo at Hindi.”
Huli ta si Jesu-Cristo, an Aki nin Dios, na ipinaghulit ko saindo, ni Silas saka ni Timoteo, bakong “Iyo” o “Dai” kundi siya an “Iyo” nin Dios.	Sapagkat ang Anak ng Diyos, si Jesu-Cristo na ipinangaral namin sa inyo sa pamamagitan ko, ni Silvano at ni Timoteo, ay hindi “Oo at Hindi,” kundi sa kanya ay palaging “Oo.”
Si Cristo an “Iyo” kan gabos na panuga nin Dios. Kaya, sa paagi niya minasabi kitang “Amen” bilang pag-omaw sa Dios.	Sapagkat ang lahat ng mga pangako ng Diyos sa kanya ay “Oo.” Kaya't sa pamamagitan niya ay aming sinasambit ang “Amen,” sa ikaluluwalhati ng Diyos.
An Dios mismo an nagpapakosog samo saka saindo diyan ki Cristo, asin siya an nagpili samo.	Subalit ang nagpapatibay sa amin na kasama ninyo kay Cristo, at nagpahid sa amin ay ang Diyos,
Binugtakan niya kami kan saiyang tanda asin itinao niya samo an Espiritu Santo sa samong mga puso bilang garantiya.	inilagay rin niya ang kanyang tatak sa amin, at ibinigay sa amin ang Espiritu sa aming mga puso bilang paunang bayad.
Saksi ko an Dios—aram niya an nasa puso ko! Dai na ngona ako nagdiyan sa Corinto tanganing ikalikay kamo sa kulog nin boot.	Subalit tinatawagan ko ang Diyos upang sumaksi laban sa akin; upang hindi kayo madamay, hindi na ako muling pumunta sa Corinto.
Dai kami nagdidikta saindo kun ano an dapat nindong tubodon, huli ta aram ming masarig an tindog nindo sa pagtubod. Kundi naglilingkod kami para sa saindo man sanang kaogmahan.	Hindi sa nais naming maging panginoon sa inyong pananampalataya, kundi kami ay mga kamanggagawa ninyo para sa inyong kagalakan, sapagkat kayo'y nakatayong matatag sa inyong pananampalataya.
Kaya pinagmarahay ko na dai na ngona magsongko saindo liwat tanganing dai ko kamo mapamondo.	Sapagkat ipinasiya ko sa aking sarili, na hindi na ako muling paririyan sa inyo na may malungkot na pagdalaw.
Huli ta kun mapamondo ko kamo, siisay na an magpapaogma sako? Bakong kamo man sana na napamondo ko?	Sapagkat kung kayo'y palungkutin ko, sino ang magpapagalak sa akin, kundi iyong pinalungkot ko?
Kaya sinuratan ko kamo kaidto tanganing pagdiyan ko saindo, dai ako mapamondo kan mismong mga tawo na dapat magpaogma sako. Huli ta naniniwala ako na kun maogma ako, maogma man kamo.	At aking isinulat ang bagay na ito, upang pagdating ko ay huwag akong magkaroon ng kalungkutan mula doon sa mga nararapat magpagalak sa akin, sapagkat nakakatiyak ako sa inyong lahat na ang aking kagalakan ay magiging kagalakan ninyong lahat.
Sinurat ko idto na pano nin kasakitan asin kamondoan an puso ko, saka kanigoan an luhang pinabulos ko, bakong tanganing pamondoon kamo, kundi tanganing maaraman nindo kun gurano an pagkamoot ko saindo gabos.	Sapagkat mula sa maraming kapighatian at hapis ng puso ay sinulatan ko kayo na may maraming luha; hindi upang kayo'y maging malungkot kundi upang inyong malaman ang masaganang pag-ibig na taglay ko para sa inyo.
Kun igwa nin nakapagpamondo sa kiisay man, ginibo niya iyan bakong sa sako, kundi sa saindo, maski ngani dai namamate nin marahay. (Sinasabi ko ini huli ta habo kong magin makuri saiya.)	Subalit kung ang sinuman ay nakapagdulot ng kalungkutan, hindi ako ang pinalungkot niya, kundi sa isang paraan ay kayong lahat, upang huwag akong maging lubhang maghigpit sa inyong lahat.
Tama na an padusang itinao sa tawong iyan kan kadaklan saindo.	Para sa gayong tao, ang kaparusahang ito ng nakararami ay sapat na.
Kaya ngunyan, dapat patawadon na nindo siya saka rangahon, tanganing dai siya magmondo nin makuri, asin mawaraan nin paglaom.	Bagkus, inyong patawarin siya at aliwin, baka siya ay madaig ng labis na kalungkutan.
Kaya, nakikimaherak ako saindo na ipahiling nindo saiya na talagang namomotan nindo siya.	Kaya't ako'y nakikiusap sa inyo na papagtibayin ninyo ang inyong pag-ibig sa kanya.
Ini an dahelan kun tadaw ta sinuratan ko kamo kaidto: tanganing baloon kamo asin aramon kun talagang kinukuyog nindo an gabos na itinukdo ko.	Sapagkat ito ang dahilan kung bakit ako sumulat, upang aking masubok kayo at malaman kung kayo'y masunurin sa lahat ng mga bagay.
An siisay man na pinatawad nindo, pinatawad ko na man. Kun ako nagpapatawad—kun talagang may dapat ipatawad—ginigibo ko iyan sa atubang ni Cristo huli saindo,	Ang inyong pinatatawad ay ipinatatawad ko rin. Ang aking pinatawad, kung ako'y nagpapatawad ay alang-alang sa inyo, sa harapan ni Cristo.
tanganing dai makabentahe satuya si Satanas; huli ta aram ta kun ano an saiyang mga plano.	At ito ay aming ginagawa upang huwag kaming malamangan ni Satanas, sapagkat kami ay hindi mangmang tungkol sa kanyang mga balak.
Pag-abot ko sa Troas sa paghulit kan Marahay na Bareta dapit ki Cristo, inandam nang enot kan Kagurangnan an dalan para sa misyon duman.	Nang ako'y dumating sa Troas upang ipangaral ang ebanghelyo ni Cristo, may pintong nabuksan para sa akin sa Panginoon,
Alagad nahadit ako nin marahay huli ta dai ko nakua si Tito na satong tugang. Kaya nagpaaram ako sa mga tawo duman, saka nagdagos sa Macedonia.	subalit ang aking isipan ay hindi mapalagay, sapagkat hindi ko natagpuan doon si Tito na aking kapatid. Kaya't ako'y nagpaalam sa kanila at nagtungo sa Macedonia.
Alagad salamat sa Dios, na danay na nangengenot samo sa kapangganahan ki Cristo, asin huli samo nagpapalakop kan pahamot nin pakaaram dapit ki Cristo sa gabos na lugar.	Subalit salamat sa Diyos, na siyang laging nagdadala sa atin sa pagtatagumpay kay Cristo, at sa pamamagitan natin ay ipinahahayag ang samyo ng pagkakilala sa kanya sa bawat dako.
Huli ta kami an mahamot na insenso na idinolot ni Cristo sa Dios, na napaparong kan mga iliniligtas asin kan mga napapahamak.	Sapagkat kami ang mabangong samyo ni Cristo sa Diyos sa mga iniligtas at sa mga napapahamak;
Para sa mga napapahamak, iyan sarong parong na nakakagadan; alagad para sa mga iliniligtas, iyan sarong mahamot na parong na nagtatao nin buhay. May makakagibo daw kaini?	sa isa ay samyo mula sa kamatayan tungo sa kamatayan, at sa iba ay samyong mula sa buhay tungo sa buhay. At sino ang sapat para sa mga bagay na ito?
Bako kaming arog sa ibang tawo na an paghulit kan tataramon nin Dios garo sana pagpabakal nin baratong paninda; sinugo kami nin Dios, kaya tudok sa puso kaming nagtataram sa atubangan niya bilang sorogoon ni Cristo.	Sapagkat kami ay hindi gaya ng marami na kinakalakal ang salita ng Diyos, kundi bilang mga taong tapat, bilang inatasan ng Diyos sa harapan ng Diyos ay nagsasalita kami para kay Cristo.
Minapoon na naman daw kami sa pag-omaw sa samong sadiri? Kaipuhan mi pa daw an mga surat nin pagpamidbid para saindo o hale saindo arog kan ibang tawo?	Magsisimula ba kaming muli na purihin ang aming sarili? O kailangan ba namin, gaya ng iba, ng mga sulat ng papuri sa inyo, o mula sa inyo?
Kamo mismo iyo an surat nin pagpamidbid na nakasurat sa samong mga puso, tanganing maaraman saka mabasa kan gabos.	Kayo mismo ang aming sulat na nasusulat sa aming mga puso, nakikilala at nababasa ng lahat ng mga tao:
Malinaw na si Cristo mismo an nagsurat kaiyan; kami sana an nagdara. Dai iyan isinurat sa tinta, kundi sa paagi kan Espiritu nin Dios na buhay; dai iyan isinurat sa mga pedasong gapo kundi sa puso nin tawo.	ipinapakita ninyo na kayo'y sulat ni Cristo na iniingatan namin, isinulat hindi ng tinta, kundi ng Espiritu ng Diyos na buháy, hindi sa mga tapyas ng bato kundi sa mga tapyas ng puso ng tao.
Sinasabi mi ini huli ta may pagsarig kami sa Dios huli ki Cristo.	Gayon ang pagtitiwalang taglay namin sa pamamagitan ni Cristo tungo sa Diyos.
Mayo kami nin anoman na kakayahan na masasabi nyamo na hale samuya, huli ta an samong kakayahan gikan sa Dios.	Hindi sa kami ay may kakayahan mula sa aming sarili upang angkinin ang anuman na nagmula sa amin, kundi ang aming kakayahan ay mula sa Diyos;
Siya an nagpakanigo samo na magin paralingkod kan bagong tipan, na bakong sa nakasurat na katogonan kundi sa Espiritu. An nakasurat na katogonan nagdadara nin kagadanan, alagad an Espiritu nagtatao nin buhay.	na ginawa kaming may kakayahan na maging mga lingkod ng bagong tipan, hindi ng titik, kundi ng Espiritu, sapagkat ang titik ay pumapatay, subalit ang Espiritu ay nagbibigay buhay.
Kan an Katogonan na isinurat sa mga pedasong gapo itinao ki Moises, nahiling an nakasusulang liwanag nin Dios; maski napapara na an liwanag sa lalawogon ni Moises, dai pa makahiling saiya an mga Israelita. Kun an pagtao kan Katogonan na idto na nagpapadusa nin kagadanan may nakasusulang liwanag,	Ngunit kung ang pangangasiwa ng kamatayan na nasusulat at nakaukit sa mga bato ay may kaluwalhatian, anupa't ang mga anak ni Israel ay hindi makatitig sa mukha ni Moises dahil sa kaluwalhatian ng kanyang mukha, na ang kaluwalhatiang iyon ay lumilipas,
bako daw orog pa an liwanag kun itao an Espiritu?	paanong ang pangangasiwa ng Espiritu ay hindi lalong magkakaroon ng kaluwalhatian?
Kun an Katogonan na nagdadara nin kagadanan nag-abot na may nakasusulang liwanag, orog pa an liwanag kun mag-abot an Espiritu na nagdadara nin katanosan!	Sapagkat kung ang pangangasiwa ng kahatulan ay may kaluwalhatian, ang pangangasiwa ng katuwiran ay lalong may higit na kaluwalhatian.
Sa katunayan, huli kan nakasusulang liwanag ngunyan, an liwanag na kaiba kan Katogonan kaidto mayo na.	Tunay na sa ganitong kalagayan, ang dating may kaluwalhatian ay nawalan ng kanyang kaluwalhatian, dahil sa kaluwalhatiang nakahihigit dito.
Huli ta kun igwa nin liwanag na kaiba an dai nahaloy, gurano pa daw an liwanag kan nagdadanay sagkod lamang!	Sapagkat kung ang bagay na lumilipas ay may kaluwalhatian, ang nananatili ay may higit pang kaluwalhatian.
Kaya mga pusoan kami, huli ta igwa kami kan paglaom na iyan.	Yamang kami ay mayroong gayong pag-asa, kami ay kumikilos na may malaking katapangan,
Bako kaming arog ki Moises na kaipuhan pang magtahob kan saiyang lalawogon tanganing dai mahiling kan mga Israelita an pagkawara kan nagpapara nang liwanag.	hindi gaya ni Moises, na naglagay ng talukbong sa kanyang mukha upang hindi makita ng mga anak ni Israel ang katapusan ng bagay na lumilipas.
Maluya an isip ninda, huli ta sagkod ngunyan natatahoban pa an saindang isip kun nagbabasa sinda kan mga libro kan daan na tipan. Huli ta an tahob nahahale sana huli ki Cristo.	Subalit ang kanilang mga pag-iisip ay tumigas, sapagkat hanggang sa araw na ito, kapag kanilang binabasa ang lumang tipan, ang dating talukbong ay nananatiling hindi itinataas, sapagkat tanging sa pamamagitan ni Cristo ito inaalis.
Maski ngunyan, kun minabasa sinda kan Katogonan ni Moises, natatahoban pa an saindang mga isip.	Subalit hanggang sa araw na ito, tuwing binabasa ang kautusan ni Moises, may isang talukbong na nakatakip sa kanilang puso.
Alagad mahahale an tahob siring sa nasasabi sa kasuratan manongod ki Moises: “An tahob saiya nahale kan siya magbalik sa Kagurangnan.”	Ngunit kapag ang isang tao ay bumabaling sa Panginoon, ang talukbong ay naaalis.
