source,reference,translation
"Jesus called to them, “ Children, have you caught anything to eat? ”","At sinabi niya sa kanila, “Ihulog ninyo ang lambat sa kanang bahagi ng bangka at mayroon kayong makikita.” Inihulog nga nila, at hindi na nila ito mahila dahil sa dami ng mga isda.","At tinawag sila ni Jesus, Mga anak, may nakuha ba kayong pagkain?"
"So he traveled through the highlands of Ephraim and the land of Shalishah, but they didn’t find anything. They traveled through the land of Shaalim, but still found nothing, so they crossed back into the land of Benjamin, but they still couldn’t find the donkeys.","Siya'y dumaan sa lupaing maburol ng Efraim at sa lupain ng Salisa, ngunit hindi nila natagpuan. Dumaan sila sa lupain ng Saalim, ngunit wala roon; at sila'y dumaan sa lupain ng mga Benjaminita, ngunit hindi nila nakita roon.","Kaya't siya'y naglakbay sa bundok ng Efraim at sa lupain ng Salisha, ngunit hindi nila natagpuan ang mga asno. Sila'y naglakbay sa lupain ng Saalim, ngunit hindi nila natagpuan ang mga asno, kaya't sila'y bumalik sa lupain ng Benjamin, ngunit hindi nila natagpuan ang mga asno."
and the darkness doesn’t extinguish the light.,"Subalit ang lahat ng tumanggap sa kanya na sumasampalataya sa kanyang pangalan ay kanyang pinagkalooban sila ng karapatan na maging mga anak ng Diyos,",at ang kadiliman ay hindi pumayag sa liwanag.
"The rest of the descendants of Kohath acquired ten cities by lot from the clans of the tribes of Ephraim, Dan, and half of Manasseh.","Ang nalabi sa mga anak ni Kohat ay tumanggap sa pamamagitan ng palabunutan mula sa mga angkan ng lipi ni Efraim, at mula sa lipi ni Dan, at sa kalahating lipi ni Manases ng sampung bayan.","Ang natitirang mga anak ng mga anak ni Kohat ay nag-aari ng sampung bayan sa pamamagitan ng mga suhol mula sa mga sambahayan ng mga tribo ni Efraim, ni Dan, at sa kalahati ng mga anak ni Manases."
"When you enter the land of Canaan, which I am giving to you as a possession, and I put an infection of skin disease on a house in the land you possess,","“Pagdating ninyo sa lupain ng Canaan na aking ibinigay sa inyo bilang pag-aari, at ako'y naglagay ng sakit na ketong sa isang bahay sa lupaing inyong pag-aari,","Kapag kayo'y pumasok sa lupain ng Canaan na aking ibinibigay sa inyo bilang pananakop, at aking inilagay ang sakit ng balat sa isang bahay sa lupain na inyong pananakop,"
"But at that moment the water of the Jordan coming downstream stood still. It rose up as a single heap very far off, just below Adam, which is the city next to Zarethan. The water going down to the desert sea (that is, the Dead Sea) was cut off completely. The people crossed opposite Jericho.","ang tubig na bumababa mula sa itaas ay tumigil, at naging isang bunton na malayo sa Adam, ang bayang nasa tabi ng Zaretan, samantalang ang umaagos tungo sa dagat ng Araba, na Dagat ng Asin ay ganap na nahawi. At ang bayan ay tumawid sa tapat ng Jerico.","Ngunit sa sandaling iyon, ang tubig ng Jordan na bumababa ay tumigil, at tumataas na parang isang buntot na malayo sa ilalim ni Adan, na ang lunsod na malapit kay Zarethan, at ang tubig na bumababa hanggang sa Dagat na Patay, ay tumatakbo. At ang mga tao ay lumipas sa harap ng Jerico."
"Then they said to Joshua, “We are your servants.”","At kanilang sinabi kay Josue, “Kami ay iyong mga lingkod.” Sinabi naman ni Josue sa kanila, “Sino kayo at saan kayo galing?”","At sinabi nila kay Josue, Kami ay iyong mga lingkod."
"“ Yes, ” he answered. “ Haven’t you ever read, From the mouths of babies and infants you’ve arranged praise for yourself? ”",Ang mga bulag at mga pilay ay lumapit sa kanya sa templo at sila'y kanyang pinagaling.,"At siya'y sumagot, Oo. Hindi ba ninyo nabasa, Sa bibig ng mga sanggol at mga sanggol ay naghanda ka ng pagpuri sa iyong sarili?"
"When they lit a fire in the middle of the courtyard and sat down together, Peter sat among them.","Samantalang siya'y nakaupo sa liwanag ng apoy, nakita siya ng isang alilang babae, tumitig sa kanya at nagsabi, “Ang taong ito ay kasama rin niya.”","Nang magsunog sila ng apoy sa gitna ng patio, at umupo silang dalawa, si Pedro ay nakaupo sa gitna nila."
"Jesus answered, “ I assure you, unless someone is born of water and the Spirit, it’s not possible to enter God’s kingdom.","Sumagot si Jesus, “Katotohanang sinasabi ko sa iyo, malibang ang isang tao'y ipanganak ng tubig at ng Espiritu, hindi siya makakapasok sa kaharian ng Diyos.","Si Jesus ay sumagot, Siguradong sinasabi ko sa iyo, kung ang isang tao ay hindi ipinanganak ng tubig at ng Espiritu, hindi siya maaaring pumasok sa kaharian ng Diyos."
