ceb,en
Ug kini gisulat namo aron mahingpit ang among kalipay.,We write this to make our joy complete.
"Kon kita mag-ingon nga wala kita makasala, siya atong gihimong bakakon ug wala kanato ang iyang pulong.","If we claim we have not sinned, we make him out to be a liar and his word is not in us."
"Ug pinaagi niini kita nahibalo nga kita nakaila kaniya, kon kita nagtuman sa iyang kasugoan.",We know that we have come to know him if we keep his commands.
Siya nga nag-ingon nga siya anaa kaniya kinahanglan nga magkinabuhi sama sa iyang pagkinabuhi.,Whoever claims to live in him must live as Jesus did.
"Siya nga nag-ingon nga anaa siya sa kahayag apan nagdumot sa iyang igsoon, kini siya anaa pa gihapon sa kangitngit.",Anyone who claims to be in the light but hates a brother or sister is still in the darkness.
"Nagsulat ako kaninyo, mga anak, kay ang inyong mga sala gipasaylo na tungod sa iyang ngalan.","I am writing to you, dear children, because your sins have been forgiven on account of his name."
"Apan kamo gidihogan na niya nga Balaan, ug kamong tanan nahibalo na.","But you have an anointing from the Holy One, and all of you know the truth."
"Ug mao kini ang saad nga iyang gisaad kanato, ang kinabuhing dayon.",And this is what he promised us—eternal life.
"Gisulat ko kini kaninyo mahitungod kanila nga nagpahisalaag kaninyo,",I am writing these things to you about those who are trying to lead you astray.
Ug ang tanan nga nagbaton sa maong paglaom diha kaniya nagputli sa ilang kaugalingon ingon nga siya putli man.,"All who have this hope in him purify themselves, just as he is pure."
Ang tanan nga nagbuhat ug sala naghimo usab ug paglapas sa balaod kay ang sala maoy paglapas sa balaod.,"Everyone who sins breaks the law; in fact, sin is lawlessness."
"Kamo nasayod nga siya gipadayag aron sa pagkuha sa mga kasal-anan, ug diha kaniya walay sala.",But you know that he appeared so that he might take away our sins. And in him is no sin.
"Mga anak, kinahanglan nga walay magpahisalaag kaninyo. Ang nagbuhat ug pagkamatarong matarong ingon nga siya matarong.","Dear children, do not let anyone lead you astray. The one who does what is right is righteous, just as he is righteous."
"Kay ang balita nga inyong nadungog sukad sa sinugdan mao nga kinahanglang maghigugmaay kita sa usa ug usa,",For this is the message you heard from the beginning: We should love one another.
"Ayaw kamo kahibulong, mga igsoon, kon ang kalibotan nagdumot kaninyo.","Do not be surprised, my brothers and sisters, if the world hates you."
Pinaagi niini kita mahibalo nga kita iya sa kamatuoran ug makapasalig sa atong mga kasingkasing diha sa iyang atubangan,This is how we know that we belong to the truth and how we set our hearts at rest in his presence:
"Mga hinigugma, kon ang atong mga kasingkasing dili magsudya kanato, may pagsalig kita diha sa atubangan sa Dios,","Dear friends, if our hearts do not condemn us, we have confidence before God"
Ang wala mahigugma wala makaila sa Dios kay ang Dios gugma.,"Whoever does not love does not know God, because God is love."
"Mga hinigugma, kon ang Dios nahigugma gayod kanato, kinahanglan nga kita usab maghigugmaay sa usa ug usa.","Dear friends, since God so loved us, we also ought to love one another."
"Ug kita nakakita ug nagpamatuod nga ang Amahan nagpadala sa iyang Anak, ingon nga Manluluwas sa kalibotan.",And we have seen and testify that the Father has sent his Son to be the Savior of the world.
